seconds,points,two_p,two_pm,value
1187,10,6,2,4
1093,6,2,0,5
1225,8,5,4,10
1460,21,5,4,20
1270,5,3,1,6
945,3,2,0,2
347,2,1,1,4
1603,16,14,8,12
1419,11,7,4,13
1451,5,3,1,3
1524,13,4,2,17
1288,4,3,1,8
1086,10,5,2,13
798,5,2,1,3
803,0,0,0,7
1604,4,4,2,2
1611,9,3,2,9
980,12,9,6,12
1190,4,4,1,-4
1116,13,3,1,19
164,2,1,1,1
353,0,1,0,-1
1245,9,1,0,0
1485,7,2,1,19
1485,8,8,4,12
1874,7,5,2,7
1760,17,4,3,28
244,0,0,0,-3
915,7,5,3,10
801,5,1,1,2
1674,11,6,2,6
1391,13,1,1,11
1496,8,2,1,13
1453,12,12,5,6
1368,15,5,2,16
1916,18,10,7,20
1223,5,3,2,5
360,0,0,0,-1
1929,8,1,1,10
143,0,1,0,-3
721,0,1,0,-5
1553,9,5,2,13
221,1,0,0,0
1793,13,9,6,14
1401,18,3,3,21
1417,13,6,1,12
280,0,0,0,-1
742,12,6,5,17
691,0,2,0,-3
1397,7,2,2,13
523,0,1,0,0
847,3,1,0,2
1135,11,6,5,15
1218,3,1,0,0
1194,8,4,4,13
1097,7,4,2,11
1359,13,8,5,15
1409,4,4,2,-2
932,4,4,2,1
84,0,0,0,2
1028,4,4,1,5
913,0,4,0,-3
1335,6,4,3,15
1431,8,8,2,3
1222,7,5,2,8
1681,12,9,5,13
1672,15,6,3,13
1652,3,2,0,-2
932,2,1,0,-3
685,3,3,0,1
393,0,0,0,-2
1460,5,2,1,8
1584,14,11,6,10
719,3,2,0,4
1454,9,1,0,8
1427,12,4,3,18
946,5,0,0,5
1568,15,7,6,25
563,5,2,1,4
449,0,0,0,-1
765,4,4,2,6
1692,13,8,5,19
1263,10,4,3,8
1873,23,13,7,27
1103,2,4,1,2
513,0,1,0,1
879,2,4,1,-1
567,0,2,0,-2
1111,0,3,0,-1
1593,10,9,5,10
762,11,5,3,10
1833,4,9,2,3
1887,12,8,5,13
1752,24,11,10,27
992,0,0,0,-3
1408,0,1,0,1
1932,14,12,4,14
970,4,3,2,1
1320,7,2,2,9
877,4,5,1,4
17,0,0,0,0
1185,10,6,4,14
1374,13,6,2,7
657,0,0,0,-2
1268,2,3,1,-6
1015,3,1,1,0
1840,6,6,3,9
856,4,3,2,7
1619,23,5,3,25
1039,2,6,1,2
904,3,4,0,0
1105,9,0,0,2
947,0,5,0,-2
875,9,0,0,10
1800,10,7,3,15
1252,13,8,5,13
1054,9,4,3,7
1703,16,10,5,13
2205,14,6,2,25
155,0,0,0,0
1491,15,7,6,23
1398,17,8,7,19
1651,7,3,3,8
694,0,1,0,2
397,0,0,0,1
1822,18,10,4,20
1582,13,9,5,16
1877,7,0,0,14
1330,9,6,4,8
1222,8,1,1,7
1925,4,3,1,-2
1648,22,11,10,31
594,4,2,2,3
1040,2,4,1,6
1506,6,4,1,7
1267,18,5,3,20
1602,12,6,3,15
71,0,1,0,0
1014,4,2,1,5
